 student code,familyName,givenName,email
t0000001,Nguyen Van,A,t0000001@student.ctu.edu.vn
t0000002,Nguyen Van,B,t0000002@student.ctu.edu.vn
t0000003,Nguyen Van,C,t0000003@student.ctu.edu.vn
t0000004,Nguyen Van,D,t0000004@student.ctu.edu.vn
t0000005,Nguyen Van,E,t0000005@student.ctu.edu.vn
t0000006,Nguyen Van,F,t0000006@student.ctu.edu.vn
t0000007,Nguyen Van,G,t0000007@student.ctu.edu.vn
t0000008,Nguyen Van,H,t0000008@student.ctu.edu.vn
t0000009,Nguyen Van,I,t0000009@student.ctu.edu.vn
t0000010,Nguyen Van,K,t0000010@student.ctu.edu.vn
t0000011,Le Thi,A,t0000011@student.ctu.edu.vn
t0000012,Le Thi,B,t0000012@student.ctu.edu.vn
t0000013,Le Thi,C,t0000013@student.ctu.edu.vn
t0000014,Le Thi,D,t0000014@student.ctu.edu.vn
t0000015,Le Thi,E,t0000015@student.ctu.edu.vn
t0000016,Le Thi,F,t0000016@student.ctu.edu.vn
t0000017,Le Thi,G,t0000017@student.ctu.edu.vn
t0000018,Le Thi,H,t0000018@student.ctu.edu.vn
t0000019,Le Thi,I,t0000019@student.ctu.edu.vn
t0000020,Le Thi,K,t0000020@student.ctu.edu.vn
t0000021,Tran Hoang,A,t0000021@student.ctu.edu.vn
t0000022,Tran Hoang,B,t0000022@student.ctu.edu.vn
t0000023,Tran Hoang,C,t0000023@student.ctu.edu.vn
t0000024,Tran Hoang,D,t0000024@student.ctu.edu.vn
t0000025,Tran Hoang,E,t0000025@student.ctu.edu.vn
t0000026,Tran Hoang,F,t0000026@student.ctu.edu.vn
t0000027,Tran Hoang,G,t0000027@student.ctu.edu.vn
t0000028,Tran Hoang,H,t0000028@student.ctu.edu.vn
t0000029,Tran Hoang,I,t0000029@student.ctu.edu.vn
t0000030,Tran Hoang,K,t0000030@student.ctu.edu.vn
t0000031,Ly Thanh,A,t0000031@student.ctu.edu.vn
t0000032,Ly Thanh,B,t0000032@student.ctu.edu.vn
t0000033,Ly Thanh,C,t0000033@student.ctu.edu.vn
t0000034,Ly Thanh,D,t0000034@student.ctu.edu.vn
t0000035,Ly Thanh,E,t0000035@student.ctu.edu.vn
t0000036,Ly Thanh,F,t0000036@student.ctu.edu.vn
t0000037,Ly Thanh,G,t0000037@student.ctu.edu.vn
t0000038,Ly Thanh,H,t0000038@student.ctu.edu.vn
t0000039,Ly Thanh,I,t0000039@student.ctu.edu.vn
t0000040,Ly Thanh,K,t0000040@student.ctu.edu.vn
t0000041,Vo Hoang,A,t0000041@student.ctu.edu.vn
t0000042,Vo Hoang,B,t0000042@student.ctu.edu.vn
t0000043,Vo Hoang,C,t0000043@student.ctu.edu.vn
t0000044,Vo Hoang,D,t0000044@student.ctu.edu.vn
t0000045,Vo Hoang,E,t0000045@student.ctu.edu.vn
t0000046,Vo Hoang,F,t0000046@student.ctu.edu.vn
t0000047,Vo Hoang,G,t0000047@student.ctu.edu.vn
t0000048,Vo Hoang,H,t0000048@student.ctu.edu.vn
t0000049,Vo Hoang,I,t0000049@student.ctu.edu.vn
t0000050,Vo Hoang,K,t0000050@student.ctu.edu.vn
t0000051,Le Nguyen,A,t0000051@student.ctu.edu.vn
t0000052,Le Nguyen,B,t0000052@student.ctu.edu.vn
t0000053,Le Nguyen,C,t0000053@student.ctu.edu.vn
t0000054,Le Nguyen,D,t0000054@student.ctu.edu.vn
t0000055,Le Nguyen,E,t0000055@student.ctu.edu.vn
t0000056,Le Nguyen,F,t0000056@student.ctu.edu.vn
t0000057,Le Nguyen,G,t0000057@student.ctu.edu.vn
t0000058,Le Nguyen,H,t0000058@student.ctu.edu.vn
t0000059,Le Nguyen,I,t0000059@student.ctu.edu.vn
t0000060,Le Nguyen,K,t0000060@student.ctu.edu.vn
t0000061,Duong Thanh,A,t0000061@student.ctu.edu.vn
t0000062,Duong Thanh,B,t0000062@student.ctu.edu.vn
t0000063,Duong Thanh,C,t0000063@student.ctu.edu.vn
t0000064,Duong Thanh,D,t0000064@student.ctu.edu.vn
t0000065,Duong Thanh,E,t0000065@student.ctu.edu.vn
t0000066,Duong Thanh,F,t0000066@student.ctu.edu.vn
t0000067,Duong Thanh,G,t0000067@student.ctu.edu.vn
t0000068,Duong Thanh,H,t0000068@student.ctu.edu.vn
t0000069,Duong Thanh,I,t0000069@student.ctu.edu.vn
t0000070,Duong Thanh,K,t0000070@student.ctu.edu.vn
t0000071,Nguyen Nhat,A,t0000071@student.ctu.edu.vn
t0000072,Nguyen Nhat,B,t0000072@student.ctu.edu.vn
t0000073,Nguyen Nhat,C,t0000073@student.ctu.edu.vn
t0000074,Nguyen Nhat,D,t0000074@student.ctu.edu.vn
t0000075,Nguyen Nhat,E,t0000075@student.ctu.edu.vn
t0000076,Nguyen Nhat,F,t0000076@student.ctu.edu.vn
t0000077,Nguyen Nhat,G,t0000077@student.ctu.edu.vn
t0000078,Nguyen Nhat,H,t0000078@student.ctu.edu.vn
t0000079,Nguyen Nhat,I,t0000079@student.ctu.edu.vn
t0000080,Nguyen Nhat,K,t0000080@student.ctu.edu.vn
